"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.72","45.38","OTTAWA CDA","6105976","2021-01-01","2021","01","01","†","0.0","","-6.5","","-3.3","","21.3","","0.0","","0.0","","10.0","","9.4","","0","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2021-01-02","2021","01","02","†","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2021-01-03","2021","01","03","†","-1.5","","-6.0","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2021-01-04","2021","01","04","†","-0.5","","-3.0","","-1.8","","19.8","","0.0","","0.0","","0.0","T","0.0","","3","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2021-01-05","2021","01","05","†","-1.0","","-3.0","","-2.0","","20.0","","0.0","","0.0","","2.0","","1.6","","2","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2021-01-06","2021","01","06","†","-2.0","","-4.0","","-3.0","","21.0","","0.0","","0.0","T","0.0","T","0.0","T","3","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2021-01-07","2021","01","07","†","-3.0","","-5.5","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2021-01-08","2021","01","08","†","-4.0","","-11.5","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2021-01-09","2021","01","09","†","-1.0","","-9.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2021-01-10","2021","01","10","†","-5.0","","-10.5","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2021-01-11","2021","01","11","†","1.0","","-10.5","","-4.8","","22.8","","0.0","","0.0","","1.0","","0.6","","2","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2021-01-12","2021","01","12","†","1.5","","-1.5","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2021-01-13","2021","01","13","†","1.0","","-2.0","","-0.5","","18.5","","0.0","","5.6","","0.0","T","5.6","","1","","","","",""
